cindustry,cname,cid
Public Relations,APCO Worldwide,10977
Nonprofit Organization Management,The Salvation Army,166406
Fundraising,MS PubCrawl.org,2540599
Program Development,GrowCocoa,2813239
Staffing & Recruiting,Elan IT - Is now part of Experis - Page shut down soon,163593
Professional Training,NIS Sparta,13436
Venture Capital,DCM,163384
Political Organization,Model United Nations Coalition of British Columbia,3595387
Computer Games,Nexon,13282
Electrical & Electronic Manufacturing,Future Electronics,157320
Online Publishing,MultiView,83399
Nanotechnology,Preciflex,5336674
Music,CD Baby,48370
Logistics & Supply Chain,Caterpillar Logistics Inc.,162911
Computer & Network Security,Zscaler,234625
Wireless,Handmark,26949
Security & Investigations,Andrews International,67092
"Health, Wellness & Fitness",Snap Fitness 24/7,166017
Media Production,Grupo RBS,249516
Animation,Fusion Animation Studio (Lagos),1671156
Commercial Real Estate,CCIM Institute,31373
Capital Markets,BSE Ltd. (Formerly Bombay Stock Exchange Limited),294584
Think Tanks,TecBank Prime,1236858
Philanthropy,Einhorn Family Charitable Trust,5107533
E-learning,Element K is now Skillsoft,7385
Import & Export,Charter Brokerage LLC,881147
Mechanical or Industrial Engineering,Schindler Group,6191
Human Resources,Alexander Hughes,12023
Business Supplies & Equipment,WAXIE Sanitary Supply,57284
Graphic Design,"Blue Robin Designs, LLC",2433420
International Trade & Development,UNCTAD,14738
Luxury Goods & Jewelry,Chloé,54663
Renewables & Environment,Sungevity,431104
"Glass, Ceramics & Concrete",Burgess & Leigh Ltd (Burleigh),5344553
Packaging & Containers,Pratt Industries,25041
Industrial Automation,Intralox,21219
Computer Software,SoftServe,6549
Internet,Etsy,67849
Semiconductors,imec,6302
Telecommunications,du,224327
Management Consulting,Arthur D. Little,3550
Biotechnology,"Harlan Laboratories, Inc.",34783
Hospital & Health Care,Beaumont Health System,166938
Pharmaceuticals,Jubilant Life Sciences Ltd,16836
Cosmetics,KMS Global Marketing LLC / KPSS / KAO,1896322
Apparel & Fashion,No Fear,60172
Sporting Goods,OpenBIke,5227275
Supermarkets,Toonbank presentatie materialen,5228342
Consumer Electronics,"Klipsch Group, Inc.",16712
Consumer Goods,PartyLite,11785
Furniture,Antônio Baiano Móveis,1185513
Retail,PetSmart,165454
Entertainment,Kabam,206001
Gambling & Casinos,CIRSA,14471
Food & Beverages,Cott Beverages,13157
Museums & Institutions,Smithsonian Institution Archives,1105759
Banking,Comerica Bank,157303
Insurance,CSAA Insurance Group,2984
Financial Services,Commonwealth Bank,2848
Real Estate,Archstone,10067
Investment Banking/Venture,Daiwa Capital Markets Europe Ltd,527537
Investment Management,Hamilton Lane,23786
